#class tools::wcsv::ntuple
#title Hits in Bottom Detector
#separator 44
#vector_separator 59
#column int EventID
#column double Charge
#column double X_pos_mm
#column double Y_pos_mm
#column double Energy_MeV
4470,1,2.40478,0.180762,5997.87
4471,1,2.30852,0.700508,5997.26
4472,1,1.65179,-0.269902,5997.2
4473,1,-0.301269,1.33485,5997.69
4474,1,2.74284,-0.244287,5996.32
4476,-1,-1.45807,0.396741,5997.34
4477,1,1.51574,0.401803,5997.69
4478,1,1.86686,-0.291852,5997.58
4479,-1,-0.278761,-0.225153,5992.68
4480,1,0.67863,-1.46775,5995.07
4484,1,1.26459,-0.974053,5997.78
4486,1,1.24961,1.5889,5997.36
4488,1,2.26243,0.315105,5997.78
4489,-1,-1.26919,-0.0695645,5997.37
4490,1,2.17344,1.25113,5997.76
4491,1,1.63478,-0.743376,5996.33
4493,1,3.04618,-0.208944,5997.32
4494,1,1.09605,1.80798,5997.08
4495,1,0.685659,0.644465,5996.68
4496,1,1.64998,1.51447,5997.51
4499,1,1.16327,-0.633547,5997.34
4500,-1,-1.18756,1.05195,5997.09
4501,1,1.08519,-0.240677,5997.63
4502,1,0.825295,-3.06839,5997.32
4503,1,-0.801721,0.995863,5997.74
4505,-1,-1.26007,-0.025966,5997.55
4506,1,1.52509,-1.88939,5997.79
4507,-1,-1.19755,0.902619,5995.41
4508,1,0.304066,-0.834515,5997.69
4509,1,1.82573,0.892087,5997.83
4510,1,1.3998,-0.0984604,5997.22
4511,1,1.80621,0.679211,5997.59
4513,1,1.59099,-1.01874,5997.55
4514,-1,0.201334,-0.405517,5997.75
4516,-1,-1.4331,1.22069,5997.66
4517,1,1.12842,-0.891591,5997.39
4519,1,-0.165696,-0.359267,5997.73
4520,1,2.10799,0.137651,5995.73
4521,-1,-1.09824,0.270782,5997.77
4522,1,1.86911,0.407942,5993.7
4523,1,-0.671161,-0.393629,5997.9
4524,1,2.27079,0.195438,5997.6
4525,1,0.744548,-1.29556,5994.36
4526,1,-0.286505,-0.633699,5997.79
4528,1,1.86245,0.14494,5997.3
4529,1,3.5228,-0.151338,5993.88
4530,1,1.80397,-0.0169826,5997.31
4531,1,3.41646,-2.23182,5997.66
4532,1,0.873636,0.229046,5997.49
4533,-1,-0.799208,-1.82623,5997.75
4534,1,3.07849,-0.764673,5995.99
4535,-1,-1.09976,-1.42642,5996.23
4536,1,1.72365,2.32024,5997.69
4538,1,0.992628,-1.3866,5997.47
4539,-1,-1.1282,0.789329,5997.73
4540,-1,-0.722075,1.15262,5997.61
4544,1,1.73021,0.173913,5997.35
4545,1,0.130672,-0.335523,5997.79
4547,1,3.54211,2.17843,5997.8
4550,1,0.89811,0.138626,5995.46
4551,1,3.37073,-0.0829439,5997.14
4552,1,-0.543697,0.253426,5996.95
4554,1,2.63416,-0.171194,5996.97
4555,-1,0.475212,0.0548232,5994.92
4556,1,1.08908,-2.05077,5997.25
4557,1,1.63435,0.0942233,5997.43
4558,1,2.40138,1.18404,5997.58
4559,1,1.41528,1.18753,5997.82
4560,-1,4.26204,-2.03965,5996.56
4561,1,0.419396,-0.179899,5997.42
4562,1,1.93407,-0.186271,5996.31
4563,1,0.990717,-0.0883999,5997.61
4564,-1,-0.464668,-0.542914,5997.25
4566,1,1.9061,0.0608299,5997.68
4567,1,2.27553,-0.574927,5997.7
4568,-1,-1.0622,-1.44406,5997.59
4569,-1,-0.738775,-0.93315,5997.65
4570,1,1.05706,1.3013,5997.25
4571,1,1.13784,0.722772,5997.51
4572,-1,0.0681888,1.36757,5996.98
4575,-1,-1.24547,-0.383428,5997.6
4576,1,1.34651,0.158256,5997.66
4577,-1,-0.792326,-0.282364,5996.31
4578,1,1.55205,0.0240848,5996.11
4579,-1,-0.972945,-1.14256,5997.41
4580,1,0.720314,-1.13383,5997.61
4581,1,0.0581241,1.52775,5997.38
4582,-1,-0.909339,-1.27254,5997.7
4584,1,0.585293,0.707737,5996.89
4585,1,1.35237,-0.153432,5997.33
4588,1,1.89322,1.61143,5997.4
4589,1,0.480197,0.198583,5997.64
4590,-1,0.150384,-1.674,5993.79
4592,1,1.80535,-0.244959,5997.64
4594,1,2.74033,-0.0441031,5997.46
4596,1,1.36337,0.575024,5997.58
4597,-1,-0.521262,-1.6141,5997.34
4598,1,3.12871,-1.68925,5997.61
4599,1,0.232739,-1.21904,5997.57
4602,1,0.825775,-1.93976,5997.77
4604,1,1.67173,-0.581969,5996.71
4605,-1,-0.581007,1.85047,5997.07
4606,1,3.08314,0.179496,5997.13
4608,-1,-1.44134,-2.63095,5997.6
4609,1,0.550168,-2.02751,5997.66
4610,1,2.08094,-0.0612712,5997.58
4611,1,1.64896,-0.0756271,5997.77
4612,1,1.3674,1.26678,5997.49
4613,-1,-0.778267,0.723158,5997.62
4614,1,2.16387,0.341892,5997.4
4615,1,1.05206,-0.168375,5996.84
4616,1,1.84109,-0.0709235,5996.47
4617,1,0.493569,-0.309406,5997.83
4618,-1,-0.666111,-0.64767,5997.65
4619,1,1.61404,0.998403,5997.07
4620,-1,-1.45335,-0.954073,5996.55
4621,1,1.74527,0.106388,5997.64
4623,1,0.294968,-1.03481,5997.66
4625,1,1.29294,0.526687,5996.99
4626,1,0.517964,0.00406351,5996.5
4627,1,-0.22395,0.818034,5996.76
4628,-1,-0.635275,-0.372896,5996.93
4629,1,3.0994,0.150104,5997.27
4630,-1,-0.937106,1.22376,5997.3
4631,1,0.920123,-0.122525,5997.75
4632,-1,-0.726352,-0.0673295,5997.58
4633,-1,-0.830633,0.0209907,5997.56
4634,1,1.8978,0.474023,5996.73
4635,1,2.04269,-0.337568,5997.07
4636,1,1.73836,0.914662,5997.66
4637,1,2.41087,2.44891,5997.46
4638,1,2.23019,-2.37946,5997.47
4639,1,1.53392,-0.412697,5997.56
4640,1,2.27829,0.032829,5997.7
4643,1,0.133669,-1.31815,5997.28
4644,1,0.116785,1.64262,5997.73
4646,-1,-0.811109,0.685249,5997.63
4648,-1,-1.19294,-0.00820876,5997.68
4649,1,0.576373,0.460415,5996.31
4651,1,1.10944,1.00324,5997.4
4652,-1,-0.377715,-0.755442,5997.53
4655,1,1.03711,0.186696,5997.65
4657,-1,-1.41417,-0.260068,5996.59
4661,1,-0.156858,-0.773099,5996.65
4663,1,0.715388,-0.268948,5997.56
4664,1,0.960425,-0.0624697,5997.76
4666,1,2.77693,0.631405,5997.5
4667,1,1.94388,-0.0786476,5997.33
4669,-1,-0.939192,-0.223343,5994.35
4670,1,1.72243,-1.375,5996.79
4671,-1,-0.58506,0.340869,5997.69
4672,-1,-0.979861,1.09272,5997.53
4673,-1,-0.262684,1.04178,5997.81
4674,1,1.19649,1.0412,5997.8
4676,1,1.30539,1.71866,5996.09
4677,1,1.63896,0.364679,5997.64
4678,1,-1.09592,-1.62014,5997.64
4679,1,1.4337,-0.403401,5997.59
4680,1,0.705983,-0.257286,5997.81
4681,1,1.17987,-0.0307332,5997.37
4682,1,1.67721,-0.32831,5996.67
4683,-1,-0.80735,-0.218281,5997.85
4684,1,0.717398,1.1117,5997.81
4685,1,1.84949,-0.345569,5997.65
4686,-1,-0.568519,-0.642755,5996.89
4688,-1,-0.188244,0.714546,5997.41
4689,-1,-0.696853,-0.139004,5994.6
4690,1,2.10071,-1.21624,5997.03
4691,1,1.02492,-0.0424773,5996.79
4693,1,1.35293,-0.0610872,5997.5
4694,1,0.491823,0.26584,5997.63
4695,1,0.957908,-0.230953,5997.56
4696,-1,-1.10107,-1.81229,5997.73
4697,1,1.80752,-1.32178,5997.57
4699,1,0.898185,2.7788,5997.72
4700,1,1.44162,1.08391,5997.77
4701,-1,-0.117364,-0.364821,5997.11
4702,1,1.49744,0.335529,5997.59
4705,1,1.10063,1.58853,5997.02
4706,1,0.0574222,2.13658,5965.19
4707,1,0.981732,0.399995,5997.71
4708,-1,-0.169714,0.273776,5996.47
4709,-1,-0.796461,1.49305,5996.91
4711,-1,-1.02571,-0.562404,5997.7
4712,1,1.59934,-0.885693,5997.5
4715,1,2.8158,1.21325,5996.21
4717,-1,-1.28675,-0.123994,5996.94
4718,1,1.27601,0.0530116,5997.62
4719,-1,-0.99482,-2.15343,5997.45
4721,1,2.00947,0.858231,5997.32
4722,1,0.703823,1.00178,5997.44
4723,1,5.17102,-0.5156,5997.67
4724,-1,-0.90934,0.638759,5997.57
4726,1,1.57413,0.318935,5997.46
4727,1,0.94136,-0.745374,5996.57
4728,1,2.71724,-0.82214,5997.75
4730,1,1.96097,1.08213,5997.76
4731,1,2.67434,0.00493151,5997.04
4732,1,1.39185,-0.689241,5997.69
4733,1,1.44482,-1.5218,5997.41
4734,-1,0.3251,-0.546585,5993.43
4735,1,1.9251,0.535018,5997.55
4736,1,0.47472,2.05045,5997.48
4737,-1,-0.674975,-1.95291,5996.9
4740,1,3.02751,-0.535136,5996.83
4741,1,2.37187,0.371389,5997.69
4742,1,1.45854,-0.270423,5996.84
4743,1,0.668566,-1.00226,5995.7
4746,1,3.92142,-0.678905,5997.62
4747,1,1.38032,-0.41404,5997.68
4749,1,3.26527,-0.187783,5997.71
4751,1,1.02638,-1.39781,5997.18
4753,1,1.49113,-1.19697,5997.74
4755,-1,-0.0540415,1.24342,5997.48
4757,1,1.89876,-0.320988,5997.3
4758,1,0.867945,-0.252112,5997.3
4759,1,1.50307,0.46154,5997.72
4761,1,1.02276,-0.73179,5997.44
4762,-1,-1.36651,1.49199,5997.59
4763,-1,-0.630331,-0.701886,5997.3
4765,1,0.783982,1.33925,5997.41
4766,1,3.28074,-0.559843,5997.6
4767,1,2.06285,-0.409196,5997.51
4768,-1,0.0340787,0.646559,5997.5
4769,1,2.66199,1.03179,5997.01
4770,-1,-0.926369,-0.757878,5997.53
4771,1,2.33774,-0.454146,5984.58
4772,1,-0.224192,-0.729583,5997.33
4773,-1,-0.349784,0.913877,5997.51
4774,-1,-1.18066,0.502924,5997.49
4776,1,1.89082,-0.490422,5995.38
4778,1,2.31919,-1.07089,5997
4779,-1,-0.449496,1.04752,5995.89
4780,1,1.36653,-0.530426,5997.68
4781,-1,-1.28326,-0.626465,5997.69
4783,-1,-1.09539,1.36014,5997.58
4784,1,-0.0604274,-0.86432,5988.09
4785,1,2.33245,0.071626,5997.42
4788,1,1.72801,0.227818,5997.55
4790,1,2.42961,0.0198062,5997.56
4791,-1,-0.712442,0.112862,5997.62
4792,-1,-0.902799,0.925049,5997.65
4793,-1,0.815224,0.134746,5997.65
4794,1,1.11302,-0.423837,5997.68
4795,1,2.54518,-0.406095,5996.82
4796,1,2.78701,1.60888,5997.51
4797,1,2.33008,-0.832821,5997.27
4798,1,2.28372,-0.448866,5997.77
4800,-1,-1.45834,0.0372472,5996.56
4801,-1,0.228304,-1.986,5997.45
4803,1,0.399337,1.2332,5997.07
4805,1,1.93417,0.989607,5996.05
4806,1,1.67589,0.162855,5997.6
4807,1,3.40229,-0.312457,5994.58
4808,1,1.33412,-0.319323,5997.5
4809,1,2.32058,0.809384,5996.55
4811,-1,-0.24327,1.31114,5997.44
4812,1,3.13034,-0.58527,5997.42
4813,1,1.36005,0.561676,5997
