% Model:              countersunk_magnets.mph
% Version:            COMSOL 6.3.0.420
% Date:               Jun 10 2026, 14:21
% Dimension:          3
% Nodes:              98
% Expressions:        4
% Description:        Magnetic flux density, x-component, Magnetic flux density, y-component, Magnetic flux density, z-component, Magnetic flux density norm
% Length unit:        mm
% x                       y                        z                        mfnc.Bx (T) @ ramp=1     mfnc.By (T) @ ramp=1     mfnc.Bz (T) @ ramp=1     mfnc.normB (T) @ ramp=1
15                        -25.4                    0                        -0.014631280984681987    -0.12115372668596287     0.4292808793874542       0.5704652147338849
15                        -23.068147345102616      0                        -0.014889621742026191    0.00666017311740735      0.7354542176988561       0.797029404676792
15                        -20.889568985071364      0                        0.012786862118209435     0.04035570239989715      1.0215025697947118       1.0372452416216873
15                        -25.716660801863384      0                        0.04323842403828268      -0.07817068507886152     0.2967145101551283       0.46440984755500603
15                        -31.504454326948512      0                        -0.04129679317461081     0.018987375719724787     0.001666820404759099     0.2625204395245958
15                        -30.986963231660596      0                        -0.07470442496179844     0.03812064699342005      0.029436215564228815     0.2742047303599101
15                        -73.70408126925933       0                        -7.506304095287646E-6    -3.65057049841749E-4     -0.03299171606417764     0.033088919097071845
15                        -68.6357137346448        0                        -3.587718868585247E-4    1.2615704426693745E-4    -0.03899724047570826     0.03912372483537173
15                        -68.56874817925458       0                        -3.61017625745331E-5     3.162861881073368E-5     -0.039185631086758016    0.039304414929634816
15                        -65.53470469042531       0                        -1.8589300251253213E-5   1.2686109815509243E-4    -0.042893888404826       0.04290870563420801
15                        -64.20635189923237       0                        -3.498893541251999E-5    4.1339174802465387E-4    -0.0442590822365973      0.04430866847185132
15                        -80                      0                        6.812136509316128E-5     3.7165897395754536E-5    -0.02800445034556282     0.02808711253319454
15                        -76.68362905848798       0                        1.315640941814375E-4     3.27045394632304E-5      -0.030443990564693005    0.030522798613805007
15                        -74.93339589874618       0                        6.533627423058404E-5     -1.93454262590304E-4     -0.03178005396737585     0.0318715176899524
15                        -5.902926362878205       0                        8.63818461165111E-4      -7.852865426281221E-4    1.006048828915842        1.006231949609645
