offset_mm,accepted_mu_plus,accepted_mu_minus,acceptance_mu_plus_given_top,acceptance_mu_minus_given_top,anti_muon_purity,muon_contamination,selection_ratio
8.0,9547.0,503.0,0.0873171936307014,0.0055480796805717,0.9499502487562188,0.050049751243781,15.73827317882038
10.0,11245.0,216.0,0.102847160613516,0.0023824755685954,0.981153477008987,0.018846522991013,43.16819109047495
12.0,12967.0,86.0,0.1185966324300099,0.0009485782356444,0.9934114762889756,0.0065885237110242,125.02567313220422
14.0,14553.0,29.0,0.1331022435223209,0.0003198694050429,0.9980112467425594,0.0019887532574406,416.1143311110571
16.0,16001.0,10.0,0.1463457018209755,0.0001102997948423,0.9993754293922928,0.0006245706077072,1326.7994018493282
18.0,17127.0,7.0,0.156644136934432,7.720985638966712e-05,0.9995914555853858,0.0004085444146142,2028.8101061070688
20.0,17890.0,7.0,0.1636225614384883,7.720985638966712e-05,0.999608872995474,0.0003911270045258,2119.192666448033
22.0,18192.0,7.0,0.1663846639289536,7.720985638966712e-05,0.99961536348151,0.00038463651849,2154.9666287323985
24.0,17929.0,4.0,0.1639792567932173,4.411991793695264e-05,0.9997769475269056,0.0002230524730942,3716.6718448466663
26.0,17220.0,3.0,0.1574947181649396,3.308993845271448e-05,0.999825814318063,0.0001741856819369,4759.595379423251
