Metric,Value
Generated mu+,109338.0
Generated mu-,90662.0
Top hits mu+,109337.0
Top hits mu-,90662.0
Accepted mu+,17127.0
Accepted mu-,7.0
Top efficiency mu+,0.9999908540489125
Top efficiency mu-,1.0
Acceptance mu+ from generated,0.15664270427481755
Acceptance mu- from generated,7.720985638966712e-05
Acceptance mu+ given top,0.15664413693443208
Acceptance mu- given top,7.720985638966712e-05
Anti-muon purity,0.9995914555853858
Muon contamination,0.00040854441461421736
Selection ratio eps+/eps-,2028.8101061070686
