L,np_top,nm_top,n_plane_p,n_plane_m,xp_mean,xp_std,xm_mean,xm_std,pmax,R_raw_correct,R_raw_buggy,best85_c,best85_off,best85_purity,best85_epsp,best85_rate,best85_npin,best85_nmin,match_c,match_off,match_purity,match_epsp,match_rate
150,163534,135896,67079,55654,16.18205762265389,3.3123630386212137,13.79378740000719,3.362789545415267,0.9957894736842106,21.645808196271613,0.22421053799697213,45.0,30.0,0.8613031057045434,0.05715019506646936,0.6741988776296257,9346,1505,45.5,30.5,0.8944610778443114,0.0438440935829858,0.5172272579289982
200,163534,135896,55742,46208,16.58099934412113,4.1176754417014765,13.38766530777571,4.180832195603019,0.9948364888123924,21.645808196271613,0.22421053799697213,46.0,31.0,0.8609913793103449,0.053744175523132806,0.6340181826970662,8789,1419,46.5,31.5,0.8854803226594965,0.04430271380874925,0.5226375848947826
300,163534,135896,41636,34579,17.382496481098084,5.755434685213136,12.580504907163887,5.8266332285897455,0.996734693877551,21.645808196271613,0.22421053799697213,48.0,33.0,0.8594501718213059,0.04588036738537552,0.5412491096570814,7503,1227,48.5,33.5,0.874966922466261,0.04043807403964925,0.47704656299643855
400,163534,135896,33308,27597,18.17377586925063,7.395334998215641,11.749931953145234,7.477345860623838,1.0,21.645808196271613,0.22421053799697213,50.0,35.0,0.8618235531086343,0.039245661452664275,0.46297971288539885,6418,1029,50.5,35.5,0.8737849558845521,0.035729573055144494,0.42150053948105104
500,163534,135896,27653,22870,18.956829093259323,9.021506517193464,10.973034804995562,9.119800089788974,1.0,21.645808196271613,0.22421053799697213,51.5,36.5,0.8520378874856487,0.03630437707143468,0.4282814826115009,5937,1031,52.5,37.5,0.8713410483321987,0.03130847407878484,0.3693449875308885
700,163534,135896,20655,17197,20.475712953485548,12.28651159355709,9.388615989648777,12.461514101229872,1.0,21.645808196271613,0.22421053799697213,55.5,40.5,0.8516165202765839,0.02786576491738721,0.32873146644106616,4557,794,57.0,42.0,0.87333483856401,0.023652573776706983,0.2790285960487259
2500,163534,135896,6477,5349,35.0387246974834,41.63775054977836,-4.244674199626098,42.42740691226896,1.0,21.645808196271613,0.22421053799697213,94.0,79.0,0.852017937219731,0.008132865336871842,0.09594313152657845,1330,231,96.5,81.5,0.8704088704088704,0.007680360047451906,0.09060494225367108
