Metric,Value
Generated mu+,109338.0
Generated mu-,90662.0
Top hits mu+,109337.0
Top hits mu-,90662.0
Accepted mu+,18192.0
Accepted mu-,7.0
Top efficiency mu+,0.9999908540489125
Top efficiency mu-,1.0
Acceptance mu+ from generated,0.1663831421829556
Acceptance mu- from generated,7.720985638966712e-05
Acceptance mu+ given top,0.1663846639289536
Acceptance mu- given top,7.720985638966712e-05
Anti-muon purity,0.9996153634815099
Muon contamination,0.00038463651849002695
Selection ratio eps+/eps-,2154.9666287323985
