off,purity,epsp,rate
22,0.5887429031936761,0.47726672147513066,5.6302990317751656
24,0.6251297393003236,0.37579276528275296,4.433214274777059
25,0.6448753882281645,0.3124449468553644,3.6859022483813955
26,0.6753689444979146,0.24724000234893417,2.9166817697634713
27,0.7188310565450459,0.18308473780022314,2.159844329358129
28,0.7728167166416792,0.12108021610194375,1.428379128087657
29,0.8460570092617571,0.06906600505020846,0.8147692765187489
30,0.9465217391304348,0.03196018556579952,0.37703320543762703
32,0.9663865546218487,0.0008441482177461977,0.009958387373754504
35,1.0,7.340419284749545e-06,8.659467281525654e-05
